key,brand_name,name
0_bj,Ben & Jerry's,Salted Caramel Core
1_bj,Ben & Jerry's,Netflix & Chilll'd™
2_bj,Ben & Jerry's,Chip Happens
3_bj,Ben & Jerry's,Cannoli
4_bj,Ben & Jerry's,Gimme S’more!™
5_bj,Ben & Jerry's,Peanut Butter Half Baked®
6_bj,Ben & Jerry's,Berry Sweet Mascarpone
7_bj,Ben & Jerry's,Chocolate Peanut Butter Split
8_bj,Ben & Jerry's,Justice ReMix'd ™
9_bj,Ben & Jerry's,Boots on the Moooo’n™
10_bj,Ben & Jerry's,Americone Dream®
11_bj,Ben & Jerry's,Bourbon Pecan Pie
12_bj,Ben & Jerry's,Brewed to Matter™
13_bj,Ben & Jerry's,Caramel Chocolate Cheesecake
14_bj,Ben & Jerry's,Cherry Garcia®
15_bj,Ben & Jerry's,Chillin' the Roast™
16_bj,Ben & Jerry's,Chocolate Chip Cookie Dough
17_bj,Ben & Jerry's,Chocolate Fudge Brownie
18_bj,Ben & Jerry's,Chocolate Shake It™
19_bj,Ben & Jerry's,Chocolate Therapy®
20_bj,Ben & Jerry's,Chubby Hubby®
21_bj,Ben & Jerry's,Chunky Monkey®
22_bj,Ben & Jerry's,Cinnamon Buns®
23_bj,Ben & Jerry's,Coffee Coffee BuzzBuzzBuzz!®
24_bj,Ben & Jerry's,Coffee Toffee Bar Crunch
25_bj,Ben & Jerry's,Cold Brew Caramel Latte
26_bj,Ben & Jerry's,Everything But The...®
27_bj,Ben & Jerry's,Glampfire Trail Mix™
28_bj,Ben & Jerry's,Half Baked®
29_bj,Ben & Jerry's,Ice Cream Sammie
30_bj,Ben & Jerry's,Milk & Cookies
31_bj,Ben & Jerry's,Mint Chocolate Cookie
32_bj,Ben & Jerry's,Minter Wonderland™
33_bj,Ben & Jerry's,New York Super Fudge Chunk®
34_bj,Ben & Jerry's,Oat of This Swirled™
35_bj,Ben & Jerry's,Peanut Butter Cup
36_bj,Ben & Jerry's,Peanut Butter World®
37_bj,Ben & Jerry's,Phish Food®
38_bj,Ben & Jerry's,Pistachio Pistachio
39_bj,Ben & Jerry's,Pumpkin Cheesecake
40_bj,Ben & Jerry's,"Red, White & Blueberry"
41_bj,Ben & Jerry's,S'mores
42_bj,Ben & Jerry's,Salted Caramel Almond
43_bj,Ben & Jerry's,Strawberry Cheesecake
44_bj,Ben & Jerry's,The Tonight Dough®
45_bj,Ben & Jerry's,Triple Caramel Chunk®
46_bj,Ben & Jerry's,Urban Bourbon™
47_bj,Ben & Jerry's,Vanilla
48_bj,Ben & Jerry's,Vanilla Caramel Fudge
49_bj,Ben & Jerry's,Boom Chocolatta™ Cookie Core
50_bj,Ben & Jerry's,Chocolate Chip Cookie Dough Core
51_bj,Ben & Jerry's,Sweet Like Sugar Cookie Dough Core
52_bj,Ben & Jerry's,"Wake & "" No Bake "" Cookie Dough Core"
53_bj,Ben & Jerry's,Brownie Batter Core
54_bj,Ben & Jerry's,Cookies & Cream Cheesecake Core
55_bj,Ben & Jerry's,Karamel Sutra® Core
56_bj,Ben & Jerry's,Peanut Butter Fudge Core
0_hd,Haagen-Dazs,White Chocolate Raspberry Truffle Ice Cream
1_hd,Haagen-Dazs,Banana Peanut Butter Chip Ice Cream
2_hd,Haagen-Dazs,Bourbon Praline Pecan Ice Cream
3_hd,Haagen-Dazs,Bourbon Vanilla Bean Truffle Ice Cream
4_hd,Haagen-Dazs,Butter Pecan Ice Cream
5_hd,Haagen-Dazs,Caramel Soft Dipped Ice Cream Bar
6_hd,Haagen-Dazs,Caramel Cone Ice Cream
7_hd,Haagen-Dazs,Caramel Cone Ice Cream Bar
8_hd,Haagen-Dazs,Cherry Vanilla Ice Cream
9_hd,Haagen-Dazs,Chocolate Ice Cream
10_hd,Haagen-Dazs,Chocolate Soft Dipped Ice Cream Bar
